id,sb_nummer,sb_name,flaeche_qm,stadtbezirk,bevolkerung,einwohnerdichte,anzahl_wc,geometry,wc_pro_10000
vablock_stadtbezirk.1,4,Schwabing-West,4363287.49516,Schwabing West,68610,157,13,"list(c(691821.83680084, 691767.29080084, 691722.86450084, 691549.29580084, 691466.06530083, 691382.24680083, 691295.23590083, 691289.82320083, 691265.52180083, 691255.39640083, 691210.30650083, 691165.38640083, 691109.14820083, 691103.68190083, 690936.69560082, 690873.52280082, 690817.53180082, 690770.55880082, 690706.13410082, 690614.63070082, 690400.25370081, 690192.08720081, 690182.29920081, 690269.28050081, 690302.25730081, 690337.63310081, 690343.63230081, 690344.54580081, 690344.82760081, 690345.69150081, 
690347.05390081, 690348.96220081, 690348.96360081, 690351.44990081, 690354.42500081, 690357.66900081, 690360.31310081, 690361.08920081, 690364.66920081, 690369.12750081, 690374.36310081, 690378.56500081, 690379.61020081, 690383.62470081, 690385.48190081, 690372.17400081, 690370.27200081, 690397.21890081, 690453.01180081, 690334.35160081, 690275.06180081, 690215.38380081, 690156.23800081, 690104.1559008, 690053.1824008, 690003.1106008, 689969.5909008, 689928.8056008, 689903.5505008, 689874.2803008, 
689852.3373008, 689838.2028008, 689829.2304008, 689827.3725008, 689837.1979008, 689721.5025008, 689675.9594008, 689592.96830079, 689593.59260079, 689785.0039008, 689951.6795008, 690084.9257008, 690378.26860081, 690413.28760081, 690422.63240081, 690430.99550081, 690533.46800081, 690552.93660081, 690657.28180082, 690674.87720082, 690805.41590082, 690826.58590082, 690981.59510082, 691017.34410082, 691030.02720082, 691131.37740083, 691167.75790083, 691176.99390083, 691186.50320083, 691511.01580083, 691526.17200084, 
691537.01540084, 691580.27030084, 691598.17650084, 691636.18680084, 691788.32780084, 691820.34970084, 691838.93230084, 691850.67250084, 691851.60040084, 691852.83090084, 691859.89800084, 691861.50710084, 691869.06350084, 691870.40950084, 691878.56290084, 691879.17130084, 691824.49690084, 691832.60170084, 691837.66390084, 691838.25460084, 691803.88440084, 691801.75950084, 691799.87350084, 691760.76520084, 691760.05090084, 691758.19520084, 691765.08480084, 691776.12460084, 691908.81490084, 691925.75380084, 
692021.91640085, 692020.04030085, 692023.51560085, 692032.97280085, 692046.13070085, 692052.82000085, 692031.14000085, 692016.55350085, 692013.57000085, 691987.91180084, 691960.01020084, 691914.26970084, 692035.61140085, 692087.98470085, 692117.46820085, 692160.96090085, 692190.29140085, 692180.00510085, 692179.25200085, 692148.49970085, 692029.66540085, 691876.16610084, 691821.83680084, 5339259.12469795, 5339263.31749795, 5339268.31979795, 5339287.89879796, 5339294.34539797, 5339295.38439798, 5339290.29779798, 
5339289.37539798, 5339285.49579798, 5339283.91969799, 5339275.05559799, 5339260.87849799, 5339235.85689799, 5339233.40199799, 5339155.987798, 5339125.18879801, 5339098.04139802, 5339075.96899802, 5339054.64179802, 5339042.09099802, 5339040.44859804, 5339038.69129805, 5339016.86669805, 5338916.27999805, 5338881.53299805, 5338832.88259804, 5338823.35239804, 5338800.43639804, 5338788.35939804, 5338768.36829804, 5338748.39569804, 5338728.49309804, 5338728.48309804, 5338708.64319804, 5338688.86459804, 
5338669.12069804, 5338653.71209804, 5338649.21849804, 5338629.54159804, 5338610.06139804, 5338590.78429804, 5338575.46789804, 5338571.51589804, 5338558.44899804, 5338552.40519804, 5338550.20799804, 5338549.89219804, 5338384.69769804, 5338194.29949804, 5338204.60599805, 5338207.60399805, 5338206.11249805, 5338200.22219806, 5338191.17979806, 5338177.05519806, 5338156.49769807, 5338134.43359807, 5338099.41809807, 5338068.00109807, 5338022.85329807, 5337973.47689808, 5337921.60129808, 5337848.25699808, 
5337768.20219808, 5337401.42919808, 5337395.47389808, 5337375.22299809, 5337303.32279809, 5337302.67599809, 5337081.47609808, 5336889.23089807, 5336735.53299806, 5336990.40079804, 5336983.82349804, 5336979.08169804, 5336975.45729804, 5336948.53929804, 5336943.89479803, 5336923.30559803, 5336921.71459803, 5336910.01989802, 5336912.51269802, 5336914.41699801, 5336909.278298, 5336907.538998, 5336899.935498, 5336892.336398, 5336888.64599799, 5336884.86079799, 5336758.18789797, 5336753.37029797, 5336749.99269797, 
5336740.59509797, 5336739.38519797, 5336734.01169797, 5336714.15619796, 5336710.01169795, 5336828.78749795, 5337045.41919795, 5337059.76919795, 5337075.02959795, 5337162.70779795, 5337182.70219795, 5337288.81699795, 5337306.68729795, 5337414.95849795, 5337423.62819795, 5337428.31269795, 5337539.21099795, 5337613.62749795, 5337622.30419795, 5337732.92159795, 5337741.99049795, 5337750.28689795, 5338019.19739796, 5338026.07199795, 5338042.46929795, 5338091.40459795, 5338091.47509795, 5338093.31639794, 
5338094.98939794, 5338103.50759794, 5338172.07079794, 5338232.61739794, 5338296.61709794, 5338314.35229794, 5338346.64299793, 5338430.56689794, 5338521.40169794, 5338539.69179794, 5338675.27049794, 5338825.60719794, 5339115.22809794, 5339134.38309793, 5339142.68639793, 5339147.26519793, 5339154.15049793, 5339158.82499792, 5339268.67179792, 5339276.72119792, 5339274.92429793, 5339267.99389793, 5339259.65429794, 5339259.12469795))",1.894767526599621
vablock_stadtbezirk.2,19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,17763489.71034,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,103717,58,18,"list(c(685540.46640071, 685543.41010071, 685533.91110071, 685526.67010071, 685524.06800071, 685510.31850071, 685514.18260071, 685512.87130071, 685488.19810071, 685494.16830071, 685518.82060071, 685520.76370071, 685528.49980071, 685533.85060071, 685540.46640071, 5327534.64919833, 5327538.09229833, 5327546.26659833, 5327552.49469833, 5327554.73269833, 5327538.73369833, 5327535.38139833, 5327533.84359833, 5327504.92319833, 5327499.86179834, 5327528.61639833, 5327527.01869833, 5327520.65669833, 5327526.91189833, 
5327534.64919833))",1.7354917708765196
